episode_number,vote_key,episode_id,user_id,series_name,season_number
22,4081822-5449324-18,4081822,5449324,Glee,2
22,4081822-5449324-28,4081822,5449324,Glee,2
22,4081822-5449324-14,4081822,5449324,Glee,2
22,4081822-5449324-38,4081822,5449324,Glee,2
22,4081822-5449324-30,4081822,5449324,Glee,2
22,4081822-5449324-15,4081822,5449324,Glee,2
1,4448267-5449324-20,4448267,5449324,Skins,7
1,4448267-5449324-35,4448267,5449324,Skins,7
3,5632530-5449324-13,5632530,5449324,Beautiful Loser,1
3,5632530-5449324-19,5632530,5449324,Beautiful Loser,1
1,6742171-5449324-19,6742171,5449324,Hilda,1
1,6767347-5449324-20,6767347,5449324,Lore,2
1,6767347-5449324-35,6767347,5449324,Lore,2
1,6785489-5449324-14,6785489,5449324,Dirty John,1
1,6785489-5449324-16,6785489,5449324,Dirty John,1
1,6785489-5449324-28,6785489,5449324,Dirty John,1
1,6785489-5449324-38,6785489,5449324,Dirty John,1
1,6785489-5449324-18,6785489,5449324,Dirty John,1
1,6785489-5449324-34,6785489,5449324,Dirty John,1
2,6830710-5449324-18,6830710,5449324,Hilda,1
2,6830710-5449324-28,6830710,5449324,Hilda,1
9,6835468-5449324-13,6835468,5449324,Mike,1
10,6835469-5449324-13,6835469,5449324,Mike,1
1,6847140-5449324-14,6847140,5449324,Room 104,2
1,6847140-5449324-16,6847140,5449324,Room 104,2
1,6847140-5449324-38,6847140,5449324,Room 104,2
1,6847140-5449324-28,6847140,5449324,Room 104,2
1,6847140-5449324-34,6847140,5449324,Room 104,2
1,6847140-5449324-19,6847140,5449324,Room 104,2
1,6847140-5449324-17,6847140,5449324,Room 104,2
1,6847140-5449324-18,6847140,5449324,Room 104,2
2,6847142-5449324-18,6847142,5449324,Room 104,2
2,6847142-5449324-38,6847142,5449324,Room 104,2
2,6847142-5449324-14,6847142,5449324,Room 104,2
2,6847142-5449324-28,6847142,5449324,Room 104,2
3,6848555-5449324-20,6848555,5449324,Room 104,2
3,6848555-5449324-35,6848555,5449324,Room 104,2
3,6848555-5449324-17,6848555,5449324,Room 104,2
4,6848556-5449324-22,6848556,5449324,Room 104,2
4,6848556-5449324-34,6848556,5449324,Room 104,2
1,6852888-5449324-18,6852888,5449324,The Umbrella Academy,1
1,6852888-5449324-28,6852888,5449324,The Umbrella Academy,1
6,6868117-5449324-21,6868117,5449324,Room 104,2
6,6868117-5449324-38,6868117,5449324,Room 104,2
6,6868117-5449324-35,6868117,5449324,Room 104,2
6,6868117-5449324-26,6868117,5449324,Room 104,2
2,6868841-5449324-18,6868841,5449324,Lore,2
2,6868841-5449324-28,6868841,5449324,Lore,2
2,6894399-5449324-18,6894399,5449324,The Umbrella Academy,1
2,6894399-5449324-28,6894399,5449324,The Umbrella Academy,1
10,6894457-5449324-28,6894457,5449324,The Umbrella Academy,1
10,6894457-5449324-18,6894457,5449324,The Umbrella Academy,1
10,6894457-5449324-19,6894457,5449324,The Umbrella Academy,1
1,6928553-5449324-13,6928553,5449324,Miracle Workers,1
13,6939229-5449324-18,6939229,5449324,One Day at a Time (2017),3
13,6939229-5449324-30,6939229,5449324,One Day at a Time (2017),3
13,6939229-5449324-28,6939229,5449324,One Day at a Time (2017),3
13,6939229-5449324-15,6939229,5449324,One Day at a Time (2017),3
6,6973732-5449324-18,6973732,5449324,High Maintenance (2016),3
6,6973732-5449324-28,6973732,5449324,High Maintenance (2016),3
6,6973732-5449324-13,6973732,5449324,High Maintenance (2016),3
12,6997778-5449324-35,6997778,5449324,Riverdale,3
12,6997778-5449324-20,6997778,5449324,Riverdale,3
4,6998839-5449324-19,6998839,5449324,Skam France,3
5,6998842-5449324-28,6998842,5449324,Skam France,3
5,6998842-5449324-30,6998842,5449324,Skam France,3
5,6998842-5449324-13,6998842,5449324,Skam France,3
5,6998842-5449324-15,6998842,5449324,Skam France,3
5,6998842-5449324-19,6998842,5449324,Skam France,3
5,6998842-5449324-18,6998842,5449324,Skam France,3
6,6998843-5449324-30,6998843,5449324,Skam France,3
6,6998843-5449324-28,6998843,5449324,Skam France,3
6,6998843-5449324-18,6998843,5449324,Skam France,3
6,6998843-5449324-38,6998843,5449324,Skam France,3
6,6998843-5449324-15,6998843,5449324,Skam France,3
6,6998843-5449324-14,6998843,5449324,Skam France,3
6,6998843-5449324-19,6998843,5449324,Skam France,3
6,6998843-5449324-13,6998843,5449324,Skam France,3
2,7009549-5449324-18,7009549,5449324,Miracle Workers,1
2,7009549-5449324-13,7009549,5449324,Miracle Workers,1
2,7009549-5449324-28,7009549,5449324,Miracle Workers,1
2,7009549-5449324-19,7009549,5449324,Miracle Workers,1
14,7013940-5449324-35,7013940,5449324,The Simpsons,30
14,7013940-5449324-20,7013940,5449324,The Simpsons,30
14,7013940-5449324-17,7013940,5449324,The Simpsons,30
11,7068746-5449324-27,7068746,5449324,Arrested Development,5
11,7068746-5449324-29,7068746,5449324,Arrested Development,5
5,7109999-5449324-30,7109999,5449324,Skam Spain,2
5,7109999-5449324-18,7109999,5449324,Skam Spain,2
5,7109999-5449324-28,7109999,5449324,Skam Spain,2
5,7109999-5449324-19,7109999,5449324,Skam Spain,2
5,7109999-5449324-13,7109999,5449324,Skam Spain,2
5,7109999-5449324-15,7109999,5449324,Skam Spain,2
4,7191328-5449324-28,7191328,5449324,Euphoria (US),1
126,7219440-5449324-28,7219440,5449324,Pokémon,18
126,7219440-5449324-14,7219440,5449324,Pokémon,18
126,7219440-5449324-38,7219440,5449324,Pokémon,18
126,7219440-5449324-18,7219440,5449324,Pokémon,18
6,7230381-5449324-30,7230381,5449324,Pose,2
6,7230381-5449324-28,7230381,5449324,Pose,2
6,7230381-5449324-15,7230381,5449324,Pose,2
6,7230381-5449324-18,7230381,5449324,Pose,2
1,7635066-5449324-38,7635066,5449324,The Midnight Gospel,1
1,7635066-5449324-35,7635066,5449324,The Midnight Gospel,1
1,8643168-5449324-32,8643168,5449324,You,3
1,8852677-5449324-28,8852677,5449324,Euphoria (US),2
1,8852677-5449324-37,8852677,5449324,Euphoria (US),2
