user_id,tv_show_id,status,created_at,updated_at,tv_show_name
5449324,71663,favorite,2019-01-28 21:16:58,2019-01-28 21:16:58,The Simpsons
5449324,80977,favorite,2019-01-28 21:19:47,2019-01-28 21:19:47,"Don't Do This, Don't Do That"
5449324,124051,favorite,2019-01-28 21:19:55,2019-01-28 21:19:55,Misfits
5449324,146711,favorite,2019-01-28 21:19:27,2019-01-28 21:19:27,Pretty Little Liars
5449324,250487,favorite,2019-01-28 21:17:20,2019-01-28 21:17:20,American Horror Story
5449324,256006,favorite,2019-01-28 21:19:32,2019-01-28 21:19:32,Rita
5449324,262414,favorite,2019-01-28 21:18:43,2019-01-28 21:18:43,Bates Motel
5449324,264586,favorite,2019-01-28 21:17:42,2019-01-28 21:17:42,Orange Is the New Black
5449324,268156,favorite,2019-01-28 21:24:18,2019-01-28 21:24:18,Sense8
5449324,303786,favorite,2019-01-28 21:18:48,2019-01-28 21:18:48,Skam
5449324,305719,favorite,2019-01-28 21:23:11,2019-01-28 21:23:11,Big Little Lies
5449324,311711,favorite,2019-01-28 21:25:41,2019-01-28 21:25:41,The Good Place
5449324,321239,favorite,2019-01-28 21:17:49,2019-01-28 21:17:49,The Handmaid's Tale
5449324,323168,favorite,2019-01-28 21:24:15,2019-01-28 21:24:15,13 Reasons Why
5449324,323225,favorite,2019-01-28 21:25:14,2019-01-28 21:25:14,Cable Girls
5449324,327417,favorite,2019-01-28 21:24:08,2019-01-28 21:24:08,Money Heist
5449324,328577,favorite,2019-01-28 21:24:31,2019-01-28 21:24:31,Good Girls
5449324,330374,favorite,2019-01-28 21:24:46,2019-01-28 21:24:46,Atypical
5449324,336522,favorite,2019-01-28 21:23:52,2019-01-28 21:23:52,The End of the F***ing World
5449324,336924,favorite,2019-01-28 21:25:32,2019-01-28 21:25:32,You
5449324,338947,favorite,2019-01-28 21:25:20,2019-01-28 21:25:20,Chilling Adventures of Sabrina
5449324,340959,favorite,2019-01-28 21:24:24,2019-01-28 21:24:24,Killing Eve
5449324,341235,favorite,2019-01-28 21:22:09,2019-01-28 21:22:09,Heathers
5449324,341902,favorite,2019-05-01 21:16:19,2019-05-01 21:16:19,Skam France
5449324,342818,favorite,2019-02-25 17:11:02,2019-02-25 17:11:02,Miracle Workers
5449324,344643,favorite,2019-05-01 21:17:49,2019-05-01 21:17:49,Bonding
5449324,346328,favorite,2019-01-28 21:25:22,2019-01-28 21:25:22,Elite
5449324,348117,favorite,2019-01-28 21:17:33,2019-01-28 21:17:33,Insatiable
5449324,353764,favorite,2019-02-17 14:39:33,2019-02-17 14:39:33,The Umbrella Academy
5449324,356317,favorite,2019-01-28 21:17:07,2019-01-28 21:17:07,Sex Education
5449324,361857,favorite,2019-05-08 22:03:57,2019-05-08 22:03:57,Dead to Me
